bridge_id,domain,type,source_cluster,target_cluster,shared_entities (top 8),shared_count,bridge_score,novelty (1-5),feasibility (1-5),overall_interest (1-5),relevance (0/1),notes
B20,neuroscience,cross,C6: stress / fear conditioning / amygdala,C9: dendritic spines / hippocampal structural plasticity,"spatial, memory, hippocampus, development, long-term, receptor, rat, hippocampal",8,0.2051,,,,,
B21,ai,cross,C0: domain-specific foundation models (remote sensing/pathology/earth),C2: large language models (LLaMA/GPT/pretraining),"language, foundation, multimodal, vision, open, dataset, zero-shot, training",61,0.2259,,,,,
B22,ai,cross,C2: large language models (LLaMA/GPT/pretraining),C3: medical/clinical AI foundation models,"language, chatgpt, gpt, intelligence, knowledge, foundation, generative, artificial",43,0.2057,,,,,
B23,ai,cross,C0: domain-specific foundation models (remote sensing/pathology/earth),C3: medical/clinical AI foundation models,"foundation, language, medical, chatgpt, intelligence, generative, artificial, multimodal",38,0.1467,,,,,
B24,ai,cross,C1: scientific foundation models (single-cell/materials/protein),C3: medical/clinical AI foundation models,"ai, care, clinical, development, diagnosis, disease, exploring, foundation model",15,0.0761,,,,,
B25,ai,cross,C0: domain-specific foundation models (remote sensing/pathology/earth),C1: scientific foundation models (single-cell/materials/protein),"ai, algorithm, cancer, change, classification, control, development, diagnosis",19,0.0699,,,,,
B26,ai,cross,C1: scientific foundation models (single-cell/materials/protein),C2: large language models (LLaMA/GPT/pretraining),"ai, association, exploring, fine-tuning, foundation model, health, human, language model",12,0.0513,,,,,
B27,ai,intra,C0: domain-specific foundation models (remote sensing/pathology/earth),C0: domain-specific foundation models (remote sensing/pathology/earth),,0,0,,,,,
B28,ai,intra,C0: domain-specific foundation models (remote sensing/pathology/earth),C0: domain-specific foundation models (remote sensing/pathology/earth),,0,0,,,,,
B29,ai,intra,C0: domain-specific foundation models (remote sensing/pathology/earth),C0: domain-specific foundation models (remote sensing/pathology/earth),,0,0,,,,,
B30,ai,intra,C3: medical/clinical AI foundation models,C3: medical/clinical AI foundation models,,0,0,,,,,
